Name,DisplayName,Description,Attachments,Event,Actions (in reverse order in AirTable),Station admin
Welcome_1,Welcome,Visit the welcome table to register and find out how to get started,CoolerCommunities-100x100.png (https://dl.airtable.com/.attachments/458fccf60a919c4455f779174c9e8fa5/72af0b62/CoolerCommunities-100x100.png),CC_Event_1,energy_fair,
Heating_Cooling_1,Heating & Cooling,Save on your heating and cooling bills while improving comfort,heating.png (https://dl.airtable.com/.attachments/38b1ecd1d735e750431e0dbd5283e596/1b1be99b/heating.png),CC_Event_1,"energy_audit,heating_assessment,weatherization,prog_thermostats,air_source_hp",
Water_Heating_1,Water Heating,Find out about options to save energy and money on domestic water heating.,water.png (https://dl.airtable.com/.attachments/f79de0557dcf196ead44011745610848/9cfcacf7/water.png),CC_Event_1,"hw_assessment,hp_water_heater,install_solarHW",
Solar_1,Solar,"Explore solar, renewables and ways to reduce electricity use",solar.png (https://dl.airtable.com/.attachments/20aa88b90df313d37da1efbf9d7281f5/db6a7404/solar.png),CC_Event_1,"solar_assessment,install_solarPV,install_solarHW,community_solar",
Electricity_Use_1,Electricity Use,Efficient appliance can save considerable money over time,lighting.png (https://dl.airtable.com/.attachments/975b506247690952f3113bad58a70572/719ea175/lighting.png),CC_Event_1,"renewable_elec,led_lighting,energystar_fridge,energystar_washer,coldwater_wash,line_dry,electricity_monitor",
Transportation_1,Transportation,Car and plane travel have big carbon footprints - see what you can do to reduce them.,transportation.png (https://dl.airtable.com/.attachments/30f5adb680e6c2ab898337f79bc34563/ed5ae35d/transportation.png),CC_Event_1,"replace_car,reduce_car_miles,reduce_flights,offset_flights",
Eating_1,Eating,"A low carbon diet is also a healthy diet, both for you and the planet",eating.png (https://dl.airtable.com/.attachments/f997b1f6db475b5c7cb6d791db19307c/3c46845e/eating.png),CC_Event_1,low_carbon_diet,
Reduce_Reuse_1,Reduce/Reuse,"Recycling is good, but reducing packaging and consumption has even more impact.",recycle.png (https://dl.airtable.com/.attachments/c60d3d4b723185db511df9dd0391f74e/a805fa2b/recycle.png),CC_Event_1,"reduce_waste,compost",
Yard_Landscaping_1,Yard/Landscaping,Learn about what you can do for your lawn to have lower environmental impact.,yard.png (https://dl.airtable.com/.attachments/c063507c5d3b7e2898309b1f82d3760f/39b9040f/yard.png),CC_Event_1,"reduce_lawn_size,reduce_lawn_care,electric_mower,rake_elec_blower",
,,,,,,
Welcome_CCH,Welcome,Visit the welcome table to register and find out how to get started,CoolerCommunities-100x100.png (https://dl.airtable.com/.attachments/458fccf60a919c4455f779174c9e8fa5/72af0b62/CoolerCommunities-100x100.png),Hadley,energy_fair,
Heating_Cooling_CCH,Heating & Cooling,Save on your heating and cooling bills while improving comfort,heating.png (https://dl.airtable.com/.attachments/38b1ecd1d735e750431e0dbd5283e596/1b1be99b/heating.png),Hadley,"energy_audit,heating_assessment,weatherization,air_source_hp",
Electricity_CCH,Electricity Use,Efficient lighting and appliances can save considerable money,lighting.png (https://dl.airtable.com/.attachments/49b89283b6b1c22331ccd69dad066d1d/57a83010/lighting.png),Hadley,"led_lighting,line_dry,fridge_pickup",
Solar_CCH,Solar,"Explore solar, renewables and ways to reduce electricity use",solar.png (https://dl.airtable.com/.attachments/20aa88b90df313d37da1efbf9d7281f5/db6a7404/solar.png),Hadley,"solar_assessment,install_solarPV,install_solarHW,community_solar",
Transportation_CCH,Transportation,Car and plane travel have big carbon footprints - see what you can do to reduce them.,transportation.png (https://dl.airtable.com/.attachments/30f5adb680e6c2ab898337f79bc34563/ed5ae35d/transportation.png),Hadley,"replace_car,reduce_car_miles",
Eating_CCH,Eating,"A low carbon diet is also a healthy diet, both for you and the planet",eating.png (https://dl.airtable.com/.attachments/f997b1f6db475b5c7cb6d791db19307c/3c46845e/eating.png),Hadley,low_carbon_diet,
Reduce_Reuse_CCH,Reduce/Reuse,"Recycling is good, but reducing packaging and consumption has even more impact.",recycle.png (https://dl.airtable.com/.attachments/c60d3d4b723185db511df9dd0391f74e/a805fa2b/recycle.png),Hadley,"reduce_waste,compost",
,,,,,,
,,,,,,
,,,,,,
